1 0,0138888888888889 2,64472391831026
2 0,0277777777777778 4,59391002626571
3 0,0416666666666667 6,05333610738446
4 0,0555555555555556 7,25929365606762
5 0,0694444444444444 8,30330814931925
6 0,0833333333333333 9,23231938894212
7 0,0972222222222222 10,0742117411759
8 0,111111111111111 10,8471533882278
9 0,125 11,5637639706789
10 0,138888888888889 12,2332317525545
11 0,152777777777778 12,8624931134722
12 0,166666666666667 13,4569369144596
13 0,180555555555556 14,0208486191668
14 0,194444444444444 14,5577028515339
15 0,208333333333333 15,07036318733
16 0,222222222222222 15,5612227825978
17 0,236111111111111 16,0323059392834
18 0,25 16,4853431041156
19 0,263888888888889 16,9218273305428
20 0,277777777777778 17,3430575137497
21 0,291666666666667 17,7501719995978
22 0,305555555555556 18,1441750641543
23 0,319444444444444 18,5259580294752
24 0,333333333333333 18,8963162866651
25 0,347222222222222 19,2559631559235
26 0,361111111111111 19,6055412735418
27 0,375 19,9456320247027
28 0,388888888888889 20,2767634169888
29 0,402777777777778 20,5994166985254
30 0,416666666666667 20,9140319570577
31 0,430555555555556 21,2210128854277
32 0,444444444444444 21,5207308603007
33 0,458333333333333 21,8135284513609
34 0,472222222222222 22,0997224552611
35 0,486111111111111 22,3796065306995
36 0,5 22,6534534969051
37 0,513888888888889 22,9215173466345
38 0,527777777777778 23,1840350158578
39 0,541666666666667 23,4412279451446
40 0,555555555555556 23,6933034619496
41 0,569444444444444 23,9404560082897
42 0,583333333333333 24,1828682344341
43 0,597222222222222 24,42071197606
44 0,611111111111111 24,6541491296986
45 0,625 24,8833324391202
46 0,638888888888889 25,1084062034876
47 0,652777777777778 25,3295069165848
48 0,666666666666667 25,5467638451464
49 0,680555555555556 25,7602995532337
50 0,694444444444444 25,9702303786839
51 0,708333333333333 26,1766668668794
52 0,722222222222222 26,3797141664198
53 0,736111111111111 26,5794723907084
54 0,75 26,7760369489742
55 0,763888888888889 26,9694988498282
56 0,777777777777778 27,1599449800915
57 0,791666666666667 27,3474583613107
58 0,805555555555556 27,5321183861068
59 0,819444444444444 27,7140010362613
60 0,833333333333333 27,8931790842353
61 0,847222222222222 28,069722279635
62 0,861111111111111 28,2436975219742
63 0,875 28,4151690209468
64 0,888888888888889 28,5841984452928
65 0,902777777777778 28,7508450612379
66 0,916666666666667 28,9151658613829
67 0,930555555555556 29,0772156848369
68 0,944444444444444 29,2370473293115
69 0,958333333333333 29,3947116558213
70 0,972222222222222 29,5502576865819
71 0,986111111111111 29,7037326966341
72 1 29,8551822996816
73 1,01388888888889 30,0046505285814
74 1,02777777777778 30,1521799108888
75 1,04166666666667 30,2978115398225
76 1,05555555555556 30,4415851409872
77 1,06944444444444 30,5835391351556
78 1,08333333333333 30,7237106973956
79 1,09722222222222 30,8621358127939
80 1,11111111111111 30,9988493290175
81 1,125 31,1338850059259
82 1,13888888888889 31,2672755624362
83 1,15277777777778 31,3990527208234
84 1,16666666666667 31,5292472486259
85 1,18055555555556 31,6578889983132
86 1,19444444444444 31,7850069448579
87 1,20833333333333 31,9106292213491
88 1,22222222222222 32,0347831527674
89 1,23611111111111 32,1574952880385
90 1,25 32,2787914304699
91 1,26388888888889 32,3986966666696
92 1,27777777777778 32,51723539404
93 1,29166666666667 32,6344313469282
94 1,30555555555556 32,7503076215168
95 1,31944444444444 32,8648866995238
96 1,33333333333333 32,9781904707852
97 1,34722222222222 33,0902402547785
98 1,36111111111111 33,2010568211542
99 1,375 33,3106604093229
100 1,38888888888889 33,4190707471571
101 1,40277777777778 33,5263070688523
102 1,41666666666667 33,632388131994
103 1,43055555555556 33,7373322338742
104 1,44444444444444 33,8411572270957
105 1,45833333333333 33,943880534505
106 1,47222222222222 34,0455191634833
107 1,48611111111111 34,1460897196355
108 1,5 34,2456084199029
109 1,51388888888889 34,3440911051307
110 1,52777777777778 34,4415532521196
111 1,54166666666667 34,5380099851829
112 1,55555555555556 34,6334760872383
113 1,56944444444444 34,7279660104539
114 1,58333333333333 34,8214938864713
115 1,59722222222222 34,914073536226
116 1,61111111111111 35,0057184793847
117 1,625 35,096441943417
118 1,63888888888889 35,1862568723187
119 1,65277777777778 35,2751759350036
120 1,66666666666667 35,3632115333782
121 1,68055555555556 35,4503758101142
122 1,69444444444444 35,5366806561331
123 1,70833333333333 35,6221377178147
124 1,72222222222222 35,7067584039422
125 1,73611111111111 35,7905538923968
126 1,75 35,8735351366106
127 1,76388888888889 35,9557128717898
128 1,77777777777778 36,0370976209186
129 1,79166666666667 36,1176997005515
130 1,80555555555556 36,1975292264039
131 1,81944444444444 36,2765961187505
132 1,83333333333333 36,3549101076375
133 1,84722222222222 36,432480737918
134 1,86111111111111 36,5093173741176
135 1,875 36,5854292051362
136 1,88888888888889 36,6608252487939
137 1,90277777777778 36,7355143562262
138 1,91666666666667 36,8095052161362
139 1,93055555555556 36,8828063589071
140 1,94444444444444 36,9554261605819
141 1,95833333333333 37,0273728467174
142 1,97222222222222 37,0986544961121
143 1,98611111111111 37,1692790444189
144 2 37,2392542876431
145 2,01388888888889 37,3085878855317
146 2,02777777777778 37,3772873648572
147 2,04166666666667 37,4453601226006
148 2,05555555555556 37,5128134290378
149 2,06944444444444 37,5796544307307
150 2,08333333333333 37,64589015343
151 2,09722222222222 37,7115275048895
152 2,11111111111111 37,776573277598
153 2,125 37,8410341514292
154 2,13888888888889 37,9049166962144
155 2,15277777777778 37,9682273742406
156 2,16666666666667 38,0309725426749
157 2,18055555555556 38,0931584559207
158 2,19444444444444 38,1547912679051
159 2,20833333333333 38,2158770343019
160 2,22222222222222 38,2764217146917
161 2,23611111111111 38,3364311746615
162 2,25 38,3959111878451
163 2,26388888888889 38,4548674379077
164 2,27777777777778 38,5133055204751
165 2,29166666666667 38,5712309450109
166 2,30555555555556 38,6286491366413
167 2,31944444444444 38,6855654379317
168 2,33333333333333 38,7419851106149
169 2,34722222222222 38,7979133372736
170 2,36111111111111 38,8533552229771
171 2,375 38,9083157968757
172 2,38888888888889 38,9628000137534
173 2,40277777777778 39,0168127555387
174 2,41666666666667 39,0703588327777
175 2,43055555555556 39,1234429860681
176 2,44444444444444 39,176069887457
177 2,45833333333333 39,2282441418025
178 2,47222222222222 39,2799702881011
179 2,48611111111111 39,3312528007815
180 2,5 39,3820960909657
181 2,51388888888889 39,4325045076994
182 2,52777777777778 39,4824823391504
183 2,54166666666667 39,5320338137789
184 2,55555555555556 39,581163101478
185 2,56944444444444 39,6298743146874
186 2,58333333333333 39,6781715094785
187 2,59722222222222 39,7260586866152
188 2,61111111111111 39,7735397925872
189 2,625 39,8206187206207
190 2,63888888888889 39,8672993116628
191 2,65277777777778 39,9135853553445
192 2,66666666666667 39,9594805909206
193 2,68055555555556 40,0049887081865
194 2,69444444444444 40,0501133483749
195 2,70833333333333 40,0948581050314
196 2,72222222222222 40,1392265248697
197 2,73611111111111 40,1832221086072
198 2,75 40,2268483117817
199 2,76388888888889 40,27010854555
200 2,77777777777778 40,313006177467
201 2,79166666666667 40,3555445322489
202 2,80555555555556 40,3977268925188
203 2,81944444444444 40,4395564995351
204 2,83333333333333 40,4810365539049
205 2,84722222222222 40,5221702162804
206 2,86111111111111 40,5629606080411
207 2,875 40,6034108119607
208 2,88888888888889 40,6435238728594
209 2,90277777777778 40,6833027982419
210 2,91666666666667 40,7227505589231
211 2,93055555555556 40,7618700896379
212 2,94444444444444 40,8006642896405
213 2,95833333333333 40,8391360232893
214 2,97222222222222 40,8772881206204
215 2,98611111111111 40,9151233779085
216 3 40,9526445582166
217 3,01388888888889 40,9898543919336
218 3,02777777777778 41,0267555773014
219 3,04166666666667 41,0633507809309
220 3,05555555555556 41,0996426383068
221 3,06944444444444 41,1356337542835
222 3,08333333333333 41,1713267035694
223 3,09722222222222 41,2067240312023
224 3,11111111111111 41,2418282530153
225 3,125 41,276641856092
226 3,13888888888889 41,3111672992151
227 3,15277777777778 41,3454070133033
228 3,16666666666667 41,3793634018417
229 3,18055555555556 41,4130388413024
