40 0,133333333333333 90,9461704837921
41 0,136666666666667 87,6932207765251
42 0,14 84,6877938480603
43 0,143333333333333 81,9061283430471
44 0,146666666666667 79,3272018697511
45 0,15 76,9323637166299
46 0,153333333333333 74,7050235120096
47 0,156666666666667 72,6303863231679
48 0,16 70,69522646633
49 0,163333333333333 68,8876937138065
50 0,166666666666667 67,1971467176
51 0,17 65,6140093806809
52 0,173333333333333 64,1296466443398
53 0,176666666666667 62,7362567586333
54 0,18 61,4267775910646
55 0,183333333333333 60,1948049282715
56 0,186666666666667 59,0345210539503
57 0,19 57,9406321572179
58 0,193333333333333 56,9083133499472
59 0,196666666666667 55,933160258003
60 0,2 55,011146306662
61 0,203333333333333 54,1385849504253
62 0,206666666666667 53,3120962064152
63 0,21 52,5285769422414
64 0,213333333333333 51,7851744465939
65 0,216666666666667 51,0792628762846
66 0,22 50,4084222290079
67 0,223333333333333 49,7704195383373
68 0,226666666666667 49,1631920277729
69 0,23 48,5848319951031
70 0,233333333333333 48,0335732278655
71 0,236666666666667 47,5077787760479
72 0,24 47,00592993
73 0,243333333333333 46,5266162703569
74 0,246666666666667 46,0685266730564
75 0,25 45,6304411666375
76 0,253333333333333 45,2112235512507
77 0,256666666666667 44,8098146994565
78 0,26 44,4252264681716
79 0,263333333333333 44,0565361592163
80 0,266666666666667 43,7028814730065
81 0,27 43,3634559061326
82 0,273333333333333 43,0375045490182
83 0,276666666666667 42,724320244634
84 0,28 42,4232400734594
85 0,283333333333333 42,1336421335969
86 0,286666666666667 41,8549425882268
87 0,29 41,5865929554934
88 0,293333333333333 41,3280776184808
89 0,296666666666667 41,0789115352194
90 0,3 40,8386381306881
91 0,303333333333333 40,6068273545774
92 0,306666666666667 40,3830738901834
93 0,31 40,1669955012342
94 0,313333333333333 39,9582315047247
95 0,316666666666667 39,7564413589792
96 0,32 39,5613033571834
97 0,323333333333333 39,3725134175421
98 0,326666666666667 39,1897839620408
99 0,33 39,0128428765274
100 0,333333333333333 38,8414325454939
101 0,336666666666667 38,6753089555346
102 0,34 38,5142408619964
103 0,343333333333333 38,3580090138204
104 0,346666666666667 38,2064054320158
105 0,35 38,059232737599
106 0,353333333333333 37,9163035251923
107 0,356666666666667 37,7774397788007
108 0,36 37,6424723265783
109 0,363333333333333 37,511240331665
110 0,366666666666667 37,3835908164132
111 0,37 37,2593782175495
112 0,373333333333333 37,1384639700123
113 0,376666666666667 37,0207161173905
114 0,38 36,9060089470565
115 0,383333333333333 36,7942226482357
116 0,386666666666667 36,6852429913946
117 0,39 36,5789610274564
118 0,393333333333333 36,4752728054678
119 0,396666666666667 36,374079107447
120 0,4 36,27528519924
121 0,403333333333333 36,1788005963008
122 0,406666666666667 36,084538843392
123 0,41 35,9924173072782
124 0,413333333333333 35,9023569815524
125 0,416666666666667 35,8142823027991
126 0,42 35,7281209773541
127 0,423333333333333 35,6438038179779
128 0,426666666666667 35,5612645898047
129 0,43 35,4804398649772
130 0,433333333333333 35,401268885417
131 0,436666666666667 35,3236934332214
132 0,44 35,2476577082093
133 0,443333333333333 35,1731082121764
134 0,446666666666667 35,0999936394448
135 0,45 35,0282647733263
136 0,453333333333333 34,957874388138
137 0,456666666666667 34,8887771564385
138 0,46 34,8209295611727
139 0,463333333333333 34,7542898124328
140 0,466666666666667 34,6888177685653
141 0,47 34,6244748613678
142 0,473333333333333 34,5612240251401
143 0,476666666666667 34,4990296293651
144 0,48 34,4378574148127
145 0,483333333333333 34,3776744328711
146 0,486666666666667 34,318448987923
147 0,49 34,2601505825954
148 0,493333333333333 34,2027498657222
149 0,496666666666667 34,1462185828703
150 0,5 34,0905295292855
151 0,503333333333333 34,035656505128
152 0,506666666666667 33,9815742728709
153 0,51 33,9282585167459
154 0,513333333333333 33,8756858041252
155 0,516666666666667 33,8238335487369
156 0,52 33,7726799756149
157 0,523333333333333 33,7222040876945
158 0,526666666666667 33,6723856339636
159 0,53 33,623205079092
160 0,533333333333333 33,5746435744592
161 0,536666666666667 33,5266829305101
162 0,54 33,4793055903704
163 0,543333333333333 33,4324946046569
164 0,546666666666667 33,3862336074226
165 0,55 33,3405067931793
166 0,553333333333333 33,2952988949436
167 0,556666666666667 33,2505951632553
168 0,56 33,2063813461206
169 0,563333333333333 33,1626436698331
170 0,566666666666667 33,1193688206319
171 0,57 33,076543927153
172 0,573333333333333 33,0341565436389
173 0,576666666666667 32,9921946338666
174 0,58 32,9506465557625
175 0,583333333333333 32,909501046669
176 0,586666666666667 32,8687472092335
177 0,59 32,82837449789
178 0,593333333333333 32,788372705905
179 0,596666666666667 32,748731952962
180 0,6 32,7094426732597
181 0,603333333333333 32,6704956040989
182 0,606666666666667 32,6318817749376
183 0,61 32,5935924968911
184 0,613333333333333 32,555619352658
185 0,616666666666667 32,5179541868528
186 0,62 32,4805890967251
187 0,623333333333333 32,4435164232512
188 0,626666666666667 32,4067287425784
189 0,63 32,3702188578082
190 0,633333333333333 32,3339797911027
191 0,636666666666667 32,2980047761008
192 0,64 32,2622872506288
193 0,643333333333333 32,2268208496953
194 0,646666666666667 32,1915993987561
195 0,65 32,1566169072371
196 0,653333333333333 32,1218675623069
197 0,656666666666667 32,0873457228851
198 0,66 32,0530459138782
199 0,663333333333333 32,0189628206332
200 0,666666666666667 31,9850912836
201 0,67 31,9514262931923
202 0,673333333333333 31,917962984841
203 0,676666666666667 31,8846966342307
204 0,68 31,8516226527114
205 0,683333333333333 31,8187365828798
206 0,686666666666667 31,7860340943218
207 0,69 31,7535109795094
208 0,693333333333333 31,7211631498482
209 0,696666666666667 31,6889866318657
210 0,7 31,656977563538
211 0,703333333333333 31,6251321907474
212 0,706666666666667 31,5934468638667
213 0,71 31,5619180344647
214 0,713333333333333 31,5305422521279
215 0,716666666666667 31,4993161613946
216 0,72 31,468236498796
217 0,723333333333333 31,4373000900013
218 0,726666666666667 31,4065038470615
